,id,title,revenue,budget,revenue_per_budget,genres,production_companies,yearmonthday,yearmonth,year
50,140607,Star Wars: The Force Awakens,2068223624,245000000,8.44172907755102,Adventure,"Lucasfilm Ltd., Bad Robot",20151215,201512,2015
50,140607,Star Wars: The Force Awakens,2068223624,245000000,8.44172907755102,Action,"Lucasfilm Ltd., Bad Robot",20151215,201512,2015
50,140607,Star Wars: The Force Awakens,2068223624,245000000,8.44172907755102,Science Fiction,"Lucasfilm Ltd., Bad Robot",20151215,201512,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,Action,"Amblin Entertainment, Universal Pictures, Legendary Pictures",20150606,201506,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,Adventure,"Amblin Entertainment, Universal Pictures, Legendary Pictures",20150606,201506,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,Science Fiction,"Amblin Entertainment, Universal Pictures, Legendary Pictures",20150606,201506,2015
51,135397,Jurassic World,1671537444,150000000,11.14358296,Thriller,"Amblin Entertainment, Universal Pictures, Legendary Pictures",20150606,201506,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,Action,"Original Film, One Race, Universal Pictures",20150401,201504,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,Crime,"Original Film, One Race, Universal Pictures",20150401,201504,2015
52,168259,Furious 7,1515400000,190000000,7.975789473684211,Thriller,"Original Film, One Race, Universal Pictures",20150401,201504,2015
53,99861,Avengers: Age of Ultron,1405403694,365000000,3.8504210794520546,Action,Marvel Studios,20150422,201504,2015
53,99861,Avengers: Age of Ultron,1405403694,365000000,3.8504210794520546,Adventure,Marvel Studios,20150422,201504,2015
53,99861,Avengers: Age of Ultron,1405403694,365000000,3.8504210794520546,Science Fiction,Marvel Studios,20150422,201504,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,Family,"Illumination, Universal Pictures",20150617,201506,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,Animation,"Illumination, Universal Pictures",20150617,201506,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,Adventure,"Illumination, Universal Pictures",20150617,201506,2015
54,211672,Minions,1159457503,74000000,15.668344635135135,Comedy,"Illumination, Universal Pictures",20150617,201506,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,Action,"Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, B24",20151026,201510,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,Adventure,"Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, B24",20151026,201510,2015
55,206647,Spectre,880707597,245000000,3.5947248857142857,Thriller,"Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, B24",20151026,201510,2015
56,150540,Inside Out,857611174,175000000,4.90063528,Animation,Pixar,20150617,201506,2015
56,150540,Inside Out,857611174,175000000,4.90063528,Family,Pixar,20150617,201506,2015
56,150540,Inside Out,857611174,175000000,4.90063528,Adventure,Pixar,20150617,201506,2015
56,150540,Inside Out,857611174,175000000,4.90063528,Drama,Pixar,20150617,201506,2015
56,150540,Inside Out,857611174,175000000,4.90063528,Comedy,Pixar,20150617,201506,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,Action,"Paramount Pictures, Bad Robot, Odin, Skydance Media",20150728,201507,2015
57,177677,Mission: Impossible - Rogue Nation,682716636,150000000,4.55144424,Adventure,"Paramount Pictures, Bad Robot, Odin, Skydance Media",20150728,201507,2015
58,131634,The Hunger Games: Mockingjay - Part 2,653428261,160000000,4.08392663125,Action,"Lionsgate, Color Force, Studio Babelsberg",20151118,201511,2015
